Lið,Tímabil,Leikir,Mörk,Skot%,Víti,Víta%,Hraða.,Hraða%,Mörk á,Varin,% Varsla,Víti Varin,Víta %,Stoð,Sk.F,Fi.Víti,TB,Frk,Stl,Blk,Stopp,Gul,2Mín,Rau
Afturelding,2023/24,5,32.2,62.9,1.8,75,3.2,76.2,25.6,14.4,36,0.6,37.5,14.6,18.2,2.4,7.2,6.4,4,4,22.8,1,2.2,0.2
Afturelding,2022/23,29,29.6,63.7,2.5,74.5,2.8,76.6,27.8,11.6,29.4,0.7,18.4,13.3,18.3,3.4,8.8,3.6,3.4,3.3,20.8,0.9,3.7,0.2
Afturelding,2021/22,22,27.2,59.9,2.5,69.1,2.1,61.8,27.7,11.5,29.3,0.6,14,9.9,14.9,3.7,10.7,3,3.7,3.1,18.5,0.9,4.1,0.3
Afturelding,2020/21,24,26.5,59.6,2.9,72.6,2.4,80.3,28,10.4,27.1,0.7,22.4,9.7,14,4,10.3,2.7,4.3,2,17.8,0.8,3.8,0.3
Afturelding,2019/20,20,27.3,61.2,3.3,75.6,2.3,73.8,26.5,12.3,31.7,0.8,22.4,11.5,16.5,4.3,8.6,3.7,3.8,1.9,18.9,1,3.3,0.4
Afturelding,2018/19,24,26.6,57.6,2.4,68.7,2.1,65.4,26.8,12,30.9,0.5,18.8,9.5,14.3,3.3,8.1,3,3.8,2.7,17.8,0.8,3.8,0.3
Akureyri,2018/19,22,25.5,55.8,2.5,80.6,2,76.3,28.3,10.8,27.6,0.8,20.7,9.3,13.3,2.5,9.6,2.9,3.6,1.1,18.8,1,4,0.2
FH,2023/24,6,29.8,59.3,2.5,68.2,3.3,71.4,24.7,15,37.8,0.7,23.5,15,23.5,3.7,9.2,6.2,3.8,3.7,18.5,0.8,3.3,0.2
FH,2022/23,27,30.7,60.2,3.4,81.3,4.3,76.5,29.4,12.9,30.5,0.7,16.8,13,17.2,4.1,9.8,5.6,4.3,2.5,21.9,0.8,4.4,0.3
FH,2021/22,25,28.2,58.2,3.1,78.8,4,74.1,26.2,13.2,33.5,0.6,17,11.2,17.1,4,10.1,4.3,4.5,2.6,22.9,0.9,4.1,0.2
FH,2020/21,24,29.7,61.4,2.9,75.8,4.4,77.2,28,12.7,31.2,0.8,19.8,14.2,20.1,3.8,10.1,5,3.5,3.7,22.3,0.9,4.2,0.1
FH,2019/20,20,30.1,60.6,2.4,72.7,3.6,72.7,26.8,13.7,33.8,0.8,17.4,12.3,18,3.3,7.6,5.6,4.7,2.7,21.1,1,5,0.2
FH,2018/19,24,27.3,57.7,3,83,2.8,75.3,26.5,10.4,28.2,0.4,17.5,10.2,16,3.4,7.9,4.8,4.1,1.8,19.1,0.9,3.6,0.3
Fjolnir,2019/20,20,25.3,53.2,2.3,73,2.4,70.1,29.9,11.8,28.3,0.5,17.5,11.4,18,3.2,11.4,4.6,4.2,1.9,14.9,1,2.4,0
Fram,2023/24,5,28.8,56.3,2.4,85.7,1.8,69.2,31.4,13,29.3,1.4,35,10.6,15.4,2.8,9.6,3.8,3.4,1.6,17.4,0.6,3,0.2
Fram,2022/23,24,29.8,59.2,2.8,65.3,3.9,83.9,29,11.4,28.2,0.5,17.7,12.2,17.3,4.2,9.5,3.8,4.8,2,16.7,0.8,3.5,0.3
Fram,2021/22,24,27.7,58.6,2.8,69.8,3.1,74.7,28.6,11.6,28.9,0.8,21.1,10.4,14.1,4,9.8,3.9,3.2,1.8,17.1,0.8,3.8,0.2
Fram,2020/21,22,26.8,60.7,2.2,68.1,3,77.4,26,13.5,34.2,0.7,25.4,10.2,13.4,3.3,11.6,4.3,3.3,2.4,16.9,1,2.9,0.1
Fram,2019/20,20,24,56.5,2.7,76.8,2.5,69.4,25.3,12.1,32.4,0.7,20.6,9.2,13.8,3.5,11.3,4.1,3.5,3.4,16.6,0.9,3,0.2
Fram,2018/19,22,25.8,58.3,2.5,76.1,2.7,78.7,27.1,11.8,30.3,0.7,23.8,7.7,11.5,2.6,7.3,1.8,2.6,3.5,15.8,0.7,3.5,0.3
Grotta,2023/24,5,29,58.7,2.4,60,2.6,72.2,30.6,11.2,26.8,0.2,6.7,15.8,21.2,4,9.8,3,2,2,13.8,0.6,3.8,0.2
Grotta,2022/23,22,27.5,58,2.3,68.9,3.3,77.4,28.9,12.5,30.2,0.5,12.8,12.2,18.3,3.4,11.6,3.5,4.1,1.8,20,0.8,3.3,0.1
Grotta,2021/22,22,28,59.7,2.5,77.8,4.3,85.5,28,12.2,30.3,0.5,18.8,11.6,16.6,3.3,10.3,2.7,3.8,1,17.7,0.8,3.3,0
Grotta,2020/21,22,25.3,56.9,2.5,82.1,2.9,79.7,27,12.5,31.6,0.6,19.7,9.5,14.1,3,10.5,2,3.1,1.7,19,0.9,2.9,0.2
Grotta,2018/19,22,22.8,52,2.6,67.9,2,81.8,26.2,12.2,31.8,0.7,19.2,7.9,12,3.6,9,2.1,3.3,1.4,14,0.9,3.7,0.5
Haukar,2023/24,5,30.8,63.4,2.4,80,4.8,77.4,25.6,11.4,30.8,0.6,21.4,13.6,17.4,3,7.8,3.2,4.4,1.4,22.2,0.8,4.4,0.2
Haukar,2022/23,34,29,59.7,2.4,79,2.6,80,28,11.1,28.4,0.8,22.7,12.1,16.6,3.1,8.8,4,3.1,1.7,23.2,0.9,4,0.4
Haukar,2021/22,29,29.7,63.3,3.1,80.9,3,78.4,28.2,12.1,30,0.6,17.5,14,18.5,3.8,10.6,3.6,3.7,2.3,19.7,0.8,4,0.2
Haukar,2020/21,28,30.6,64.2,3.1,77.7,4.1,83.5,24.9,12.9,34.1,0.6,17.2,14.1,18.5,4,9,3.3,4.9,2.3,18.8,0.9,3.5,0.2
Haukar,2019/20,20,27.4,58.3,2.1,72.4,3.1,76.5,26.2,14.2,35.1,0.8,23.1,12.5,17.9,2.9,10.9,4.8,2.6,2.4,16.6,0.8,4,0.3
Haukar,2018/19,34,28.2,59.3,1.9,65.3,3,75,27.1,14.8,35.3,0.8,27.7,11.5,16.2,3,10.6,4,3.8,2.3,19.1,0.9,3.7,0.2
HK,2023/24,6,25,49.3,0.8,41.7,1.5,64.3,29.8,12.2,29,0.5,18.8,9.2,13.8,2,10.3,3.7,3.8,2,24.7,0.7,3.5,0.2
HK,2021/22,22,26.5,52.8,2.2,65.8,3.4,80.4,29.6,11.8,28.5,0.7,18.3,9.6,13.8,3.3,10.9,3,5.2,1.5,23,1,3.8,0.2
HK,2019/20,20,25.2,52.8,2,67.2,2.6,73.9,29.6,12.4,29.5,0.5,18.2,9.9,14.4,2.9,11.7,3.9,3.9,1.3,17.6,1,2.6,0.1
Hordur,2022/23,22,28.8,56.1,2.4,64.6,3,75.6,34.7,10.4,23.1,0.7,18.5,11,18,3.7,13.7,4.3,4.3,1,14,0.8,3.5,0.2
IBV,2023/24,5,30.2,64,3.2,88.9,3.2,80,28.6,10.6,27,0.4,16.7,12.2,16.6,3.6,8.6,2.4,5.2,3.4,18.4,1,3,0.2
IBV,2022/23,32,31.6,63.5,3.4,76.4,2.8,76.7,28.5,11.3,28.4,0.8,20.1,13.5,18.9,4.5,9.9,4.2,5.1,4.3,20.4,0.7,3.9,0.1
IBV,2021/22,32,30.7,63.2,2.6,74.5,3.9,77.3,29.7,10.8,26.7,0.7,20,13.2,18.6,3.4,11.7,4.9,4.8,2.5,18.2,0.7,4,0.3
IBV,2020/21,26,29.1,61.6,4.2,83.3,3.8,77.8,28.2,12.2,30.2,0.8,21.6,13,19.4,5.1,11.3,3.3,4.6,2.6,18,0.7,3.5,0.1
IBV,2019/20,20,29.3,62.6,3.8,84.3,4.8,80.5,27,11.7,30.2,0.6,15.1,12,17.8,4.5,10.1,3.7,5.4,3.2,23,0.9,3.6,0.2
IBV,2018/19,29,28.9,60,3.1,70.9,3.8,77.9,28.6,12,29.6,0.7,20.9,12.1,17.5,4.4,9.3,3.4,4.4,3.5,20.7,0.8,3.6,0.2
IR,2022/23,22,28.2,54.1,2.8,77.5,2.7,83.3,32.5,13,28.6,0.5,17.4,11.2,16.8,3.6,9.9,3.2,4,1.7,17.4,0.5,2.8,0.2
IR,2020/21,22,23.5,49.7,2.3,67.1,2.4,71.6,31.3,9.6,23.5,0.4,8,9.9,14.9,3.5,10.1,2.5,3,1.4,14.9,1,3.6,0.3
IR,2019/20,20,30,61.9,2.5,84.5,2.9,82.6,28,14.2,33.6,0.4,14.5,11.7,16.5,2.9,8.3,3.4,3.7,2.4,19,0.8,3.4,0.2
IR,2018/19,24,26.9,58.4,2.9,75,3.1,75.8,27.3,11.8,30.2,0.6,18.8,9.1,12.9,3.7,8.3,2.9,2.5,2.2,19.4,0.8,3.5,0.3
KA,2023/24,5,29.4,62.8,3,71.4,2.4,80,28.6,11,27.8,0.6,25,11.6,15.4,4.2,11.4,3.4,3.6,2.8,18.8,1,4.2,0
KA,2022/23,22,28.8,60.4,3,80.7,3.8,79.2,30.9,14.3,31.6,0.7,23.9,13.4,18.8,3.8,12.4,3.5,3,1.9,16.7,1,3.4,0.1
KA,2021/22,25,27.4,59.2,2.9,81.1,3.2,85.9,28.5,10.7,27.3,0.6,15.6,12.3,18.8,3.6,10.6,3.8,3.3,1.7,20,0.8,3.8,0.2
KA,2020/21,24,26.7,58.5,2,77,3.2,77.6,26.4,11.8,30.9,0.6,19.7,11.8,17.8,2.5,10.9,4,3.2,2.5,20.6,0.9,3.9,0.2
KA,2019/20,20,26.2,56.8,2.5,69.4,3.6,77.4,29.1,11,27.4,0.8,21.1,10.3,14.4,3.6,11.6,4.5,4.5,0.9,26.1,1,4.3,0.3
KA,2018/19,22,25.9,55.5,2.1,73,2.4,71.6,27,11.9,30.6,1,22.2,9,12.9,2.9,8.6,4.4,3.7,1.8,21.6,0.9,4.2,0.2
Selfoss,2023/24,5,21.6,47,0.8,40,0.8,36.4,31.4,8.2,20.7,0.2,6.7,6.6,11.8,2,13.4,4,2.4,0.8,15.2,1.2,3.4,0
Selfoss,2022/23,24,30.1,59.6,2.5,76.9,3.2,81.7,30.8,14.3,31.7,0.6,23.1,12.7,16.8,3.3,10.9,5.1,3.3,1.8,19,0.6,3.4,0.2
Selfoss,2021/22,28,27.9,59.2,2.6,72,2.4,74.7,28.3,12.1,30,1.1,27,12,16.4,3.6,11,4.6,4.7,2,18.4,0.7,3,0
Selfoss,2020/21,24,26.3,59.4,2.6,75.9,1.6,65.5,25.7,13.7,34.8,0.8,20.4,10.1,14.5,3.5,10.7,4.3,3.3,2.8,22.5,0.8,3.3,0.1
Selfoss,2019/20,20,30.9,64,3.3,81.5,2.8,68.8,30.5,11.2,26.9,1,21.3,13.4,18.4,4.1,9.3,3.7,4,2.3,20.3,0.7,3.8,0.2
Selfoss,2018/19,31,29.1,60.4,2.2,63.6,2.6,75.9,26.7,11.5,30.1,0.6,19.6,11.2,16,3.5,7.5,3.5,4.3,2.3,23.1,0.9,3.5,0.1
Stjarnan,2023/24,6,25.3,56.5,1.8,64.7,2.5,75,29.8,13.5,31.2,0.7,16,10,15.5,2.8,12.3,3.7,2.8,2,15.8,0.5,4,0.3
